Sample	min:D11:0	max:D11:0	min:D11:1	max:D11:1	min:D11:2	max:D11:2	min:D11:3	max:D11:3	min:D11:4	max:D11:4	min:D11:5	max:D11:5	min:D11:6	max:D11:6	min:D11:7	max:D11:7
0	0.66977140745405	0.6930565711296026	0.66977140745405	24.49279740249979	0.66977140745405	0.6930565711296026	0.66977140745405	0.6930565711296026	0.66977140745405	0.6930565711296026	0.66977140745405	0.6930565711296026	14.018236011146683	40.21521934892843	29.430505396356978	144.03866315098534
1	0.6843093440004111	0.707602216805185	0.6843093440004111	24.731375608028657	0.6843093440004111	0.707602216805185	0.6843093440004111	0.707602216805185	0.6843093440004111	0.707602216805185	0.6843093440004111	0.707602216805185	15.127047455271281	42.17941856120248	24.731375608028657	160.49475341109687
2	0.705317320959324	1.186479005860889	0.705317320959324	24.376574671642743	0.705317320959324	1.186479005860889	0.705317320959324	1.186479005860889	0.705317320959324	5.45536540036008	0.705317320959324	1.186479005860889	14.761518902479708	34.759279149531295	28.307100240405163	179.68545620779085
3	0.6948670234974941	1.3071299304609738	0.6948670234974941	22.219311968359676	1.3071299304609738	2.2213181513517384	0.6948670234974941	1.3071299304609738	0.6948670234974941	5.0716199122764465	0.6948670234974941	1.3071299304609738	13.984792186353332	37.35461906006299	27.65069780326479	160.70806749346593
4	0.7195846201667848	1.6388013340305463	0.7195846201667848	21.64429872982265	0.7195846201667848	1.6388013340305463	0.7195846201667848	1.6388013340305463	0.7195846201667848	5.296644973126462	0.7195846201667848	1.6388013340305463	14.994680668571021	42.672600504176586	28.20270598917267	189.72345383422746
5	0.7398114671633493	1.6883457580701418	0.7398114671633493	24.16803421932144	0.7398114671633493	1.6883457580701418	0.7398114671633493	1.6883457580701418	0.7398114671633493	5.134606778304516	0.7398114671633493	1.6883457580701418	14.01541602957414	43.56611234196939	28.790025251090555	165.62962009350179
6	0.6848660960705217	0.73054425442146	0.6848660960705217	22.533208491273484	0.7233846448313841	1.4355009207208127	0.7233846448313841	0.73054425442146	0.6848660960705217	0.73054425442146	0.6848660960705217	0.73054425442146	14.501670893365315	39.73686695992035	27.825717916589554	157.29922987478972
7	0.7282243639754427	1.1378655080490887	0.7282243639754427	20.745111417008474	0.7282243639754427	1.1378655080490887	0.7282243639754427	1.1378655080490887	0.7282243639754427	4.988125114359121	0.7282243639754427	1.1378655080490887	13.886033443019983	38.421562423869545	28.62409069849886	168.47989377908374
8	0.7769582984790588	1.604878298158809	0.7769582984790588	26.24225171516136	0.7769582984790588	1.604878298158809	0.7769582984790588	1.604878298158809	0.7769582984790588	5.405086873060043	0.7769582984790588	1.604878298158809	13.295964562112232	35.077123363904235	26.24225171516136	165.9973661908642
9	0.790229819351481	1.354046126394394	0.790229819351481	24.05431559171248	0.790229819351481	1.354046126394394	0.790229819351481	1.354046126394394	0.790229819351481	5.451602009035753	0.790229819351481	1.354046126394394	14.073149148614704	41.56071447348833	27.064549452938422	205.18604935658655
10	0.7579165145229183	1.3022670646320762	0.7579165145229183	22.489520232350145	0.7579165145229183	1.3022670646320762	0.7579165145229183	1.3022670646320762	0.7579165145229183	4.905306669724325	0.7579165145229183	1.3022670646320762	14.651212215722438	41.3484716071695	26.97641257929743	177.37744879836234
11	0.7562395408906468	1.49090539929864	0.7562395408906468	25.997789318865102	0.7562395408906468	1.49090539929864	0.7562395408906468	1.49090539929864	0.7562395408906468	5.869398816206029	0.7562395408906468	1.49090539929864	15.737549066589708	42.96615248340436	25.997789318865102	215.83243045101307
