iteration	time	leafsWith	leafsWithout	resultingClade	incomingClade	segments
88	30.828436835791877	1	3	LPAI	LPAI	{3, 4, 6, 7}
88	8.91586289413118	2	1	LPAI	LPAI	{3, 6}
88	2.6410235379418623	1	2	HPAI	HPAI	{1, 4}
88	2.401353845199253	1	1	HPAI	HPAI	{3, 6}
88	2.6854761909645504	1	3	HPAI	HPAI	{2}
88	2.577001128133304	1	1	LPAI	LPAI	{1, 2, 3, 5, 6}
88	152.30855301960867	3	3	LPAI	LPAI	{1}
88	2.445008038651679	4	1	HPAI	LPAI	{1}
88	224.6318879526678	6	364	LPAI	unknown	{2}
88	3.212388719441094	149	1	HPAI	LPAI	{3, 4, 5, 6}
88	2.792443646347351	5	4	HPAI	LPAI	{6}
88	6.603879686942662	1	1	LPAI	LPAI	{1, 2, 3, 5, 7}
88	1.4854493313225703	1	1	HPAI	LPAI	{4}
88	3.219349328356145	25	2	HPAI	LPAI	{4, 6}
88	9.003144508340029	1	3	LPAI	LPAI	{6}
88	12.311569866881996	2	4	LPAI	LPAI	{1}
88	0.5498367528695667	1	3	HPAI	LPAI	{7}
88	0.533240978297556	2	1	HPAI	HPAI	{3, 7}
88	2.6538847420406455	1	1	HPAI	HPAI	{4}
88	0.7344912516396107	27	8	HPAI	LPAI	{1}
88	270.33056579134313	2	4	LPAI	unknown	{4, 6}
88	2.959353502400404	1	2	HPAI	HPAI	{3}
88	1.462299008030186	1	1	HPAI	LPAI	{4, 5, 7}
88	87.31106770933764	355	3	unknown	LPAI	{2}
88	3.137449302403752	9	2	HPAI	HPAI	{3, 5, 7}
88	2.6155130987730786	1	2	LPAI	LPAI	{1, 4, 5, 6, 7}
88	113.85423034732929	1	2	LPAI	LPAI	{1}
88	3.49407464053877	1	19	HPAI	HPAI	{1, 3}
88	1.6350995826853705	2	1	HPAI	LPAI	{4, 6}
88	7.752365802468489	1	1	LPAI	LPAI	{3, 7}
88	6.426889182188916	1	2	LPAI	LPAI	{1, 5, 6}
88	2.882085499552204	4	1	HPAI	LPAI	{5, 6}
88	156.546698714114	358	6	unknown	LPAI	{3}
88	3.2025155158852954	25	2	HPAI	LPAI	{4, 6}
88	2.98492263020006	1	1	HPAI	HPAI	{3, 5, 6, 7}
88	5.13973121517563	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
88	1.6059084053841843	1	3	HPAI	LPAI	{4}
88	3.79280820390062	1	1	LPAI	LPAI	{1, 2, 4, 6}
88	0.49037490795552685	1	5	HPAI	HPAI	{3, 6, 7}
88	3.280829033685677	30	23	HPAI	LPAI	{7}
88	1.6173679233680787	1	30	HPAI	LPAI	{6}
88	0.4518160357947636	1	1	HPAI	LPAI	{1}
88	43.337357822723106	351	4	HPAI	LPAI	{1, 4, 6}
89	3.146264108799187	4	21	HPAI	LPAI	{3}
89	163.89826506212341	3	3	LPAI	LPAI	{1, 3}
89	2.835247877996153	1	1	LPAI	LPAI	{1, 2, 3, 5, 6}
89	0.5199833681597283	1	3	HPAI	LPAI	{3, 4, 6, 7}
89	2.037425432101884	6	1	HPAI	LPAI	{5, 6, 7}
89	2.8246366729603096	5	4	HPAI	LPAI	{6}
89	4.294097252669019	5	44	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
89	152.61924067212655	358	6	unknown	LPAI	{1}
89	0.4433462565579589	2	1	HPAI	HPAI	{2, 5, 7}
89	3.289836134290397	1	208	HPAI	HPAI	{1, 3, 5, 7}
89	3.209774487475954	1	1	HPAI	HPAI	{3, 4, 6}
89	2.4322454703810195	1	1	HPAI	HPAI	{3, 6}
89	1.597909478539293	1	3	HPAI	LPAI	{4}
89	1.6311140398763655	2	1	HPAI	LPAI	{4, 6}
89	1.627517365604433	1	30	HPAI	LPAI	{6}
89	8.204150202774883	1	1	LPAI	LPAI	{5}
89	239.52629804412385	364	6	unknown	LPAI	{5, 6}
89	3.190066605900256	9	140	HPAI	HPAI	{3, 5, 7}
89	288.9159972900577	2	4	LPAI	LPAI	{2}
89	3.2406036890361634	30	6	HPAI	LPAI	{7}
89	3.1922099058300546	25	1	HPAI	LPAI	{4, 6}
89	2.653380373364655	1	2	HPAI	HPAI	{1, 4}
89	8.990308149800967	2	1	LPAI	LPAI	{3}
89	0.7674085444283492	27	8	HPAI	LPAI	{1}
89	2.926628706818292	1	2	HPAI	HPAI	{3}
89	1.2965580361295679	35	1	HPAI	LPAI	{4, 6, 7}
89	2.967482762408224	1	1	HPAI	LPAI	{4}
89	2.2309353276414186	1	1	LPAI	LPAI	{1, 6, 7}
89	2.839534899061448	1	3	LPAI	LPAI	{2, 5, 6, 7}
89	5.897406488129832	1	2	LPAI	LPAI	{2, 3, 4, 7}
89	0.5696343064643656	1	8	HPAI	LPAI	{7}
89	3.260146185861231	149	32	HPAI	LPAI	{3, 4, 5, 6}
89	2.5989162577694174	1	2	LPAI	LPAI	{1, 4, 5, 6, 7}
89	3.0388328641156477	1	2	HPAI	HPAI	{3, 4}
89	3.3484582307022492	53	1	HPAI	LPAI	{4, 5, 6}
89	2.903189837689183	16	1	HPAI	LPAI	{5, 6, 7}
89	42.80238669764907	351	4	HPAI	LPAI	{1}
89	1.500632333825422	1	1	HPAI	LPAI	{4}
89	2.844126019937164	4	1	HPAI	LPAI	{5, 6}
89	8.946775850525057	1	3	LPAI	LPAI	{1, 6}
89	120.36581040421069	2	1	LPAI	LPAI	{1}
89	11.227554268852316	2	4	LPAI	LPAI	{1, 4, 5}
89	2.9308320669377395	1	1	HPAI	HPAI	{3, 5, 6, 7}
89	2.4784326115260455	4	1	HPAI	LPAI	{1}
89	0.48917500352212073	1	1	HPAI	LPAI	{1}
89	2.6726335175685563	1	2	HPAI	HPAI	{4}
89	2.503862261992481	62	2	HPAI	HPAI	{4, 5, 6, 7}
89	2.695482932997777	1	3	HPAI	HPAI	{2}
89	1.4146321313569956	1	1	HPAI	LPAI	{4, 5, 7}
89	3.146910942841373	25	2	HPAI	LPAI	{4, 6}
90	1.5844243365747275	1	2	HPAI	LPAI	{4}
90	1.7864656835193955	6	1	HPAI	LPAI	{5, 6, 7}
90	97.95208044195311	355	3	unknown	LPAI	{1}
90	2.978070491791243	1	1	HPAI	HPAI	{3, 5, 6, 7}
90	1.4430297660509268	1	1	HPAI	HPAI	{7}
90	0.5233049411669981	6	1	HPAI	HPAI	{1, 2, 3, 4, 6, 7}
90	7.888956494647687	1	2	LPAI	LPAI	{1}
90	3.330077714336028	1	53	HPAI	HPAI	{5, 7}
90	3.2391258212052207	25	6	HPAI	HPAI	{2, 4, 6}
90	2.9243566181411325	1	2	HPAI	HPAI	{3}
90	0.4295109510169368	2	1	HPAI	HPAI	{3, 5, 7}
90	2.7241776683734997	1	2	HPAI	HPAI	{1, 4}
90	2.3835472290767257	4	1	HPAI	LPAI	{1}
90	5.901405859389854	1	2	LPAI	LPAI	{5}
90	2.935523078883705	16	1	HPAI	LPAI	{5, 6, 7}
90	2.670342002448706	1	1	HPAI	HPAI	{2}
90	8.823889046998602	1	3	LPAI	LPAI	{1, 6}
90	0.5548311156121599	1	8	HPAI	LPAI	{4, 6, 7}
90	3.0060604245480818	1	1	HPAI	LPAI	{4}
90	1.3402397796534729	1	2	HPAI	LPAI	{4, 5, 7}
90	3.2447881838084527	149	31	HPAI	LPAI	{3, 4, 5, 6}
90	6.091330172318862	1	2	LPAI	LPAI	{1, 2, 7}
90	2.737634903433218	62	2	HPAI	LPAI	{5, 6}
90	32.12065903846616	3	1	LPAI	unknown	{5}
90	2.631961275508843	1	2	LPAI	LPAI	{1, 4, 5, 6, 7}
90	2.8236450136998883	1	1	LPAI	LPAI	{6}
90	3.1796329809121175	9	112	HPAI	HPAI	{3, 5, 7}
90	4.470382981541604	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
90	2.7219626427734624	1	4	HPAI	HPAI	{4}
90	3.1244979532272623	4	5	HPAI	LPAI	{3}
90	1.4940348360445341	1	1	HPAI	HPAI	{1, 2, 4, 5, 6}
90	270.4723330583959	2	4	LPAI	LPAI	{3}
90	2.4718387149891328	1	1	HPAI	HPAI	{3, 6}
90	12.92094695465778	2	4	LPAI	LPAI	{1, 4}
90	1.421761098647039	1	1	HPAI	LPAI	{4}
90	2.792199292646387	5	3	HPAI	LPAI	{6}
90	1.602856537060518	1	2	HPAI	LPAI	{4, 6}
90	2.3153297731840894	1	1	LPAI	LPAI	{2, 3, 4, 7}
90	7.216421444880837	1	1	LPAI	LPAI	{1}
90	2.919756003023167	4	1	HPAI	LPAI	{5, 6}
90	3.2275334857905023	30	23	HPAI	LPAI	{7}
90	3.3439298933429313	54	209	HPAI	LPAI	{4, 5, 6}
90	0.5199385657886637	1	1	HPAI	LPAI	{1}
90	3.145885938179447	25	2	HPAI	LPAI	{4, 6}
90	0.5391177961095082	1	4	HPAI	HPAI	{2, 4, 7}
90	2.7925230992515253	1	3	LPAI	LPAI	{2, 5, 6}
90	1.477204847596056	28	2	HPAI	LPAI	{4, 6}
90	0.7727264769030739	27	8	HPAI	LPAI	{1}
90	1.282987759142486	35	1	HPAI	LPAI	{4, 6, 7}
90	2.303153647696547	2	1	HPAI	HPAI	{2, 7}
91	1.0478047700296997	35	1	HPAI	LPAI	{4, 6, 7}
91	3.2904726817538403	149	32	HPAI	HPAI	{2, 3, 4, 5, 6}
91	83.23299798395152	3	355	LPAI	LPAI	{1, 3, 6}
91	1.9669135699781464	6	1	HPAI	LPAI	{5, 6, 7}
91	1.4639560732069299	1	2	HPAI	LPAI	{4, 5, 7}
91	2.7793768585540874	5	3	HPAI	LPAI	{6}
91	2.714244579792137	1	1	HPAI	HPAI	{2}
91	3.3975269842866282	54	212	HPAI	LPAI	{4, 5, 6}
91	2.824980584869081	4	1	HPAI	LPAI	{5, 6}
91	1.4518886911116624	1	1	HPAI	LPAI	{4}
91	2.960526773845004	17	1	HPAI	LPAI	{5, 6, 7}
91	0.5789008456837337	1	3	HPAI	LPAI	{7}
91	2.650885985863681	1	3	HPAI	HPAI	{1, 2, 4}
91	2.4321484298838527	1	1	HPAI	HPAI	{3, 6}
91	1.5052275608128411	28	2	HPAI	LPAI	{4, 6}
91	3.2591417479214897	30	23	HPAI	LPAI	{7}
91	2.409442341257261	4	1	HPAI	HPAI	{1, 2}
91	32.21082970217378	1	3	LPAI	LPAI	{3}
91	6.224266986850978	1	1	LPAI	LPAI	{1, 2, 3, 5}
91	3.216646026073988	25	2	HPAI	LPAI	{4, 6}
91	0.4985004691538393	1	1	HPAI	LPAI	{1}
91	3.1545743688734547	4	21	HPAI	LPAI	{3}
91	1.5582869582369199	1	1	HPAI	LPAI	{4, 6}
91	2.4470096506848336	2	2	HPAI	HPAI	{1, 3, 4, 5, 6}
91	10.660979812467588	2	4	LPAI	LPAI	{1, 4}
91	1.5209060267854397	1	1	HPAI	HPAI	{1, 2, 4, 5, 6, 7}
91	2.667136015359006	1	1	LPAI	LPAI	{1, 2, 3, 5, 6}
91	3.8812594600697707	1	1	LPAI	LPAI	{1, 4, 5, 6}
91	2.9103470772916467	1	2	HPAI	HPAI	{3}
91	3.0542288134327578	1	1	HPAI	LPAI	{4}
91	2.7439281304630754	1	3	LPAI	LPAI	{2, 5, 6, 7}
91	8.018726092885686	1	1	LPAI	LPAI	{2, 6}
91	0.7672337393753423	27	8	HPAI	LPAI	{1}
91	4.636641849082935	5	346	HPAI	HPAI	{1, 3, 4, 5, 6, 7}
91	2.6354979355604655	62	2	HPAI	LPAI	{4, 5, 6, 7}
91	3.2292073271196386	25	5	HPAI	LPAI	{4, 6}
91	0.5605330371026866	1	3	HPAI	HPAI	{3, 4, 6, 7}
91	2.34989564817937	1	1	LPAI	LPAI	{2, 3, 4, 7}
91	3.3349868704206074	1	53	HPAI	HPAI	{1, 2, 5, 7}
91	237.73744341725924	4	2	LPAI	unknown	{6}
91	1.5880835144316734	1	2	HPAI	LPAI	{4}
91	3.159812580380901	9	3	HPAI	HPAI	{1, 3, 5, 7}
91	131.89680835294755	6	358	LPAI	LPAI	{1}
91	0.5736844498757705	2	1	HPAI	HPAI	{2, 3, 7}
91	8.926683875256174	1	3	LPAI	LPAI	{1, 6}
91	2.7342908535686092	1	2	HPAI	HPAI	{1, 4}
91	2.7298828271893854	1	9	HPAI	HPAI	{4}
91	2.653927478709761	1	2	LPAI	LPAI	{1, 4, 5, 6, 7}
92	1.2466239864731392	35	1	HPAI	LPAI	{4, 6, 7}
92	2.937511456669597	1	3	LPAI	LPAI	{2, 5, 6, 7}
92	2.6707506537840118	1	2	LPAI	LPAI	{1, 4, 5, 6, 7}
92	2.019391154838445	6	1	HPAI	LPAI	{5, 6, 7}
92	0.4991458145942147	2	1	HPAI	HPAI	{3, 5, 7}
92	3.079898960750313	2	2	HPAI	HPAI	{2, 5, 7}
92	2.6473296420598444	1	1	HPAI	HPAI	{2}
92	8.969344998244992	1	3	LPAI	LPAI	{1, 6}
92	2.9551036822568335	1	1	HPAI	LPAI	{4}
92	6.6154494515021725	1	2	LPAI	LPAI	{4}
92	3.165879008891693	25	3	HPAI	LPAI	{4, 6}
92	3.335595681669645	54	4	HPAI	LPAI	{4, 5, 6}
92	1.4179769084317968	1	2	HPAI	LPAI	{4, 5, 7}
92	2.4041723775832793	4	1	HPAI	LPAI	{1}
92	2.796129152598553	5	4	HPAI	LPAI	{6}
92	0.48827925012506057	1	1	HPAI	LPAI	{1}
92	2.6652387895705942	62	2	HPAI	LPAI	{4, 5, 6, 7}
92	0.49525512754473766	1	5	HPAI	HPAI	{6, 7}
92	2.8750572276907747	4	1	HPAI	LPAI	{5, 6}
92	7.805097413852934	1	1	LPAI	LPAI	{5}
92	2.6816270737402306	1	10	HPAI	HPAI	{4}
92	0.5459757250349639	1	3	HPAI	HPAI	{1, 3, 7}
92	3.282386193633897	30	6	HPAI	LPAI	{7}
92	1.4952751243977218	1	1	HPAI	LPAI	{4}
92	1.49491563050168	28	2	HPAI	LPAI	{4, 6}
92	2.970961944294686	1	1	HPAI	HPAI	{3, 5, 6, 7}
92	7.219657143558663	2	1	LPAI	LPAI	{4}
92	1.5777630494375785	2	2	HPAI	LPAI	{4, 6}
92	2.4254550726209345	1	1	LPAI	LPAI	{2, 3, 4, 7}
92	0.8003641176545102	27	8	HPAI	LPAI	{1}
92	3.993609661957919	1	1	LPAI	LPAI	{1, 4, 5, 6}
92	293.7763251757475	2	4	LPAI	LPAI	{7}
92	171.35582555737034	3	3	LPAI	LPAI	{2}
92	2.4366344850215	2	2	HPAI	HPAI	{1, 3, 4, 5, 6}
92	2.8765506375648897	16	1	HPAI	LPAI	{5, 6, 7}
92	2.7439247383048837	1	2	HPAI	HPAI	{1, 4}
92	6.331559828327556	1	1	LPAI	LPAI	{4}
92	3.1171884636100344	4	21	HPAI	LPAI	{3}
92	3.1693111005402557	9	110	HPAI	HPAI	{1, 3, 5, 7}
92	3.2202236168149057	25	2	HPAI	LPAI	{4, 6}
92	2.916262838604439	1	2	HPAI	HPAI	{3}
92	1.5244255968650577	1	1	HPAI	HPAI	{4, 5}
92	2.6403253896344836	1	1	LPAI	LPAI	{1, 2, 3, 5, 6}
92	4.787773530429263	5	346	HPAI	HPAI	{1, 3, 4, 5, 6, 7}
92	2.364441844640453	1	1	HPAI	HPAI	{3, 6}
92	34.150202854348095	1	3	LPAI	LPAI	{6}
92	3.332061430679289	1	53	HPAI	HPAI	{1, 5, 7}
92	3.2561494839494003	149	29	HPAI	LPAI	{3, 4, 5, 6}
93	3.3133178410382698	30	23	HPAI	LPAI	{7}
93	3.056338217078519	1	1	HPAI	LPAI	{4}
93	2.433216820186601	1	1	HPAI	HPAI	{3, 6}
93	0.4534533634187028	1	1	HPAI	LPAI	{1}
93	3.099210800689832	25	2	HPAI	LPAI	{4, 6}
93	1.5625053017350297	2	1	HPAI	LPAI	{4, 6}
93	2.6651478247636646	1	1	HPAI	HPAI	{4}
93	1.2782306753372268	35	1	HPAI	LPAI	{4, 6, 7}
93	1.5107071043040037	1	1	HPAI	LPAI	{4}
93	0.5236183083568449	1	5	HPAI	HPAI	{3, 6, 7}
93	3.0311379347107845	2	1	HPAI	HPAI	{1, 4, 5, 7}
93	14.211137338001038	2	1	LPAI	LPAI	{6}
93	2.4915905420506306	4	1	HPAI	LPAI	{1}
93	2.8790600583581067	5	7	HPAI	LPAI	{6}
93	2.544254618491834	1	1	LPAI	LPAI	{1, 6, 7}
93	0.7808436413199047	27	8	HPAI	LPAI	{1}
93	0.5897174027787173	1	1	HPAI	LPAI	{7}
93	92.88305149871587	3	355	LPAI	LPAI	{1}
93	1.8616526770924793	6	1	HPAI	LPAI	{5, 6, 7}
93	3.278962118565744	149	6	HPAI	LPAI	{3, 4, 5, 6}
93	2.878884959167749	1	2	HPAI	HPAI	{3}
93	233.66563621919656	364	6	unknown	LPAI	{4}
93	3.3420608073932954	1	53	HPAI	HPAI	{1, 2, 5, 7}
93	1.4542016625552492	28	2	HPAI	LPAI	{4, 6}
93	5.795265238682873	2	1	LPAI	LPAI	{2}
93	2.6198821622137984	2	3	HPAI	HPAI	{1, 3, 4, 5, 6}
93	2.720942345632693	1	2	HPAI	HPAI	{1, 4}
93	3.372502743651694	54	223	HPAI	LPAI	{4, 5, 6}
93	8.870501024164696	2	1	LPAI	LPAI	{1}
93	3.114300937093617	4	2	HPAI	LPAI	{3}
93	3.5796127491913126	1	1	LPAI	LPAI	{1, 3}
93	12.47886357880077	2	4	LPAI	LPAI	{4}
93	1.4419089865943988	1	2	HPAI	LPAI	{4, 5, 7}
93	4.879327335770313	5	346	HPAI	HPAI	{1, 3, 4, 5, 6, 7}
93	2.831638650357206	4	1	HPAI	LPAI	{5, 6}
93	3.285917371889866	25	155	HPAI	LPAI	{4, 6}
93	2.5776633544904257	62	1	HPAI	HPAI	{4, 5, 6, 7}
93	2.9131351628149673	16	1	HPAI	LPAI	{5, 6, 7}
93	158.4644426650811	3	3	LPAI	LPAI	{5}
93	2.681200230754996	1	2	HPAI	HPAI	{2}
93	311.18125963583145	4	2	LPAI	LPAI	{3}
93	4.5984675017531345	1	1	LPAI	LPAI	{1, 6, 7}
93	1.6017949325149061	1	7	HPAI	LPAI	{4}
93	0.5227458065494375	2	1	HPAI	HPAI	{3, 5, 7}
93	3.192624906247829	9	3	HPAI	HPAI	{3, 5, 7}
93	2.955214122048119	1	1	HPAI	HPAI	{3, 5, 6, 7}
94	2.6405908397172198	1	2	HPAI	HPAI	{4}
94	3.226371188198698	25	2	HPAI	LPAI	{4, 6}
94	28.813555915968777	1	3	LPAI	LPAI	{1}
94	2.6838222807706984	1	2	HPAI	HPAI	{2}
94	2.9071476671166465	1	3	LPAI	LPAI	{2, 5, 6, 7}
94	91.42196471015632	3	355	LPAI	LPAI	{1}
94	3.252813711777776	30	6	HPAI	LPAI	{7}
94	4.931701573287626	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
94	2.769799450891014	5	4	HPAI	LPAI	{6}
94	4.618999047709565	1	1	LPAI	LPAI	{1, 6, 7}
94	180.04382754501938	1	1	LPAI	LPAI	{2, 7}
94	3.3136474386403734	1	53	HPAI	HPAI	{1, 2, 5, 7}
94	1.3607747407378383	35	1	HPAI	LPAI	{4, 6, 7}
94	2.857711137985632	1	1	HPAI	HPAI	{3}
94	2.644530833456656	1	2	HPAI	HPAI	{1, 4}
94	3.3265414814716223	54	1	HPAI	LPAI	{4, 5, 6}
94	296.8615004492756	4	2	LPAI	unknown	{5}
94	3.222639944462344	25	2	HPAI	LPAI	{4, 6}
94	1.785569955711651	31	17	HPAI	LPAI	{6}
94	2.7892388855989907	1	1	LPAI	LPAI	{1, 2, 3, 5, 6}
94	3.662496939759478	1	1	LPAI	LPAI	{1, 3}
94	0.43290211731743966	1	1	HPAI	LPAI	{1}
94	12.672585739987255	2	4	LPAI	LPAI	{4}
94	3.010592058709449	1	1	HPAI	LPAI	{4}
94	2.884983422766993	4	1	HPAI	LPAI	{5, 6}
94	7.915065528380751	2	1	LPAI	LPAI	{3, 6}
94	1.706022357861002	6	1	HPAI	LPAI	{5, 6, 7}
94	1.52448404383847	2	1	HPAI	HPAI	{2, 4, 6}
94	2.857386781604305	17	1	HPAI	LPAI	{5, 6, 7}
94	6.140891843003999	2	1	LPAI	LPAI	{2}
94	3.209099471682009	9	140	HPAI	HPAI	{1, 3, 5, 7}
94	136.12960349918632	6	358	LPAI	LPAI	{3}
94	233.29503086751117	364	6	unknown	LPAI	{1}
94	2.6185910606080256	62	2	HPAI	HPAI	{4, 5, 6, 7}
94	2.7045726341542036	1	3	HPAI	HPAI	{1, 2, 4}
94	0.5525380748067619	1	5	HPAI	HPAI	{3, 4, 6, 7}
94	1.6100872198650222	1	3	HPAI	LPAI	{4}
94	3.2488944233763277	149	27	HPAI	LPAI	{3, 4, 5, 6}
94	3.0617438931637935	4	1	HPAI	LPAI	{3}
94	0.5131836325683707	2	1	HPAI	HPAI	{3, 7}
94	2.6688068331556565	4	1	HPAI	LPAI	{1}
94	2.531170133456385	1	1	HPAI	HPAI	{3, 6}
94	2.2875264412271576	1	1	LPAI	LPAI	{1, 6, 7}
94	7.881076782883838	1	2	LPAI	LPAI	{1, 4}
94	1.502166283635347	1	2	HPAI	LPAI	{4, 5, 7}
94	0.5538864531498575	1	4	HPAI	LPAI	{7}
94	6.306902504807226	1	1	LPAI	LPAI	{4}
94	2.3568832638783874	2	1	HPAI	HPAI	{2, 7}
94	0.8006195065962629	27	8	HPAI	LPAI	{1}
94	1.4938366429551024	1	1	HPAI	LPAI	{4}
95	0.6076982272032296	1	3	HPAI	HPAI	{4, 6, 7}
95	2.6582172479421047	2	2	LPAI	LPAI	{2, 4}
95	3.189616908688322	9	1	HPAI	HPAI	{1, 3, 5, 7}
95	11.970564717816558	2	4	LPAI	LPAI	{4}
95	2.3119199704200355	4	1	HPAI	LPAI	{1}
95	1.7889410856524819	31	11	HPAI	LPAI	{6}
95	3.067086446150711	4	1	HPAI	LPAI	{3}
95	0.5607315935265547	1	1	HPAI	LPAI	{7}
95	2.707612278625845	1	1	LPAI	LPAI	{1, 2, 3, 5, 6}
95	2.94593846905218	17	1	HPAI	LPAI	{5, 6, 7}
95	0.4227128520896031	1	1	HPAI	LPAI	{1}
95	1.4275619944091886	35	1	HPAI	LPAI	{4, 6, 7}
95	3.3830620245821024	53	13	HPAI	LPAI	{4, 5, 6}
95	4.59145567949713	1	1	LPAI	LPAI	{1, 6, 7}
95	2.9628038618993173	1	1	HPAI	LPAI	{4}
95	3.3117786396430233	1	27	HPAI	HPAI	{1, 2, 4, 6}
95	1.698382128839171	1	10	HPAI	LPAI	{4}
95	4.733617427663148	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
95	3.2722284076500614	30	23	HPAI	LPAI	{7}
95	2.9092374991940915	1	2	HPAI	HPAI	{3}
95	1.4527150874813515	1	2	HPAI	LPAI	{4, 5, 7}
95	2.6041724684599785	62	2	HPAI	HPAI	{4, 5, 6, 7}
95	13.082244338773592	2	1	LPAI	LPAI	{1, 7}
95	2.468415524480008	1	1	HPAI	HPAI	{3, 6}
95	2.308551032950618	1	1	LPAI	LPAI	{3, 4, 7}
95	2.741660873847934	5	3	HPAI	LPAI	{6}
95	2.6560133920661997	1	2	HPAI	HPAI	{1, 4}
95	3.29412447786018	25	156	HPAI	LPAI	{4, 6}
95	1.4818169227391422	1	1	HPAI	HPAI	{4, 5}
95	1.6121097296817197	2	1	HPAI	LPAI	{4, 6}
95	7.826488962041708	2	1	LPAI	LPAI	{1}
95	149.747288954028	6	358	LPAI	LPAI	{1}
95	2.657254506887284	2	2	HPAI	HPAI	{1, 3, 4, 5, 6, 7}
95	10.287399061467283	1	3	LPAI	LPAI	{1, 3, 6, 7}
95	107.4237510283888	1	2	LPAI	LPAI	{7}
95	1.7060752172695288	6	1	HPAI	LPAI	{5, 6, 7}
95	2.7909605015186116	4	1	HPAI	LPAI	{5, 6}
95	0.8306549577219471	27	8	HPAI	LPAI	{1}
95	236.66581335733133	364	6	unknown	unknown	{2}
95	0.5651759248434587	2	1	HPAI	HPAI	{3, 7}
95	3.2567456803707273	25	2	HPAI	LPAI	{4, 6}
95	3.2931317849835864	149	7	HPAI	LPAI	{3, 4, 5, 6}
96	3.2518151758776526	149	1	HPAI	LPAI	{3, 4, 5, 6}
96	1.7712006440235086	6	1	HPAI	LPAI	{5, 6, 7}
96	3.0735731642344035	4	6	HPAI	LPAI	{3}
96	1.7570724293004218	31	11	HPAI	LPAI	{6}
96	2.37836107149559	1	1	HPAI	HPAI	{3, 6}
96	3.1316411927894023	1	1	HPAI	HPAI	{1, 3, 4, 5, 6, 7}
96	0.421373563149416	1	1	HPAI	LPAI	{1}
96	1.599233628849845	1	3	HPAI	LPAI	{4}
96	3.3270391676069835	1	27	HPAI	HPAI	{1, 4, 6}
96	149.19952081636035	3	3	LPAI	unknown	{7}
96	3.26345773632994	30	6	HPAI	LPAI	{7}
96	4.892884598433739	5	346	HPAI	HPAI	{1, 3, 4, 5, 6, 7}
96	8.115028041663436	2	1	LPAI	LPAI	{1}
96	95.20586784494509	3	355	LPAI	LPAI	{1}
96	2.874278716430922	4	1	HPAI	LPAI	{5, 6}
96	0.5483904323870661	1	5	HPAI	LPAI	{6, 7}
96	2.987789368792562	1	1	HPAI	HPAI	{3, 5, 6, 7}
96	3.983710683567665	1	1	LPAI	LPAI	{1, 3}
96	2.9040076173575926	16	1	HPAI	LPAI	{5, 6, 7}
96	3.2206629562014655	9	140	HPAI	HPAI	{3, 5, 7}
96	1.4291749400890126	1	1	HPAI	LPAI	{4, 5, 7}
96	0.49788598909617576	2	1	HPAI	HPAI	{7}
96	30.62102224314151	1	3	LPAI	LPAI	{1, 7}
96	2.987629983825343	1	1	HPAI	LPAI	{4}
96	3.178188891165746	25	2	HPAI	LPAI	{4, 6}
96	8.483832255440802	1	1	LPAI	LPAI	{4, 5}
96	2.734450792677819	1	1	LPAI	LPAI	{1, 2, 3, 5, 6}
96	1.5849659483865253	2	1	HPAI	LPAI	{4, 6}
96	4.537734571846727	1	1	LPAI	LPAI	{1, 6, 7}
96	1.630256252858544	35	1	HPAI	LPAI	{4, 6, 7}
96	2.35931743535906	4	1	HPAI	LPAI	{1}
96	2.8111009825446445	5	4	HPAI	LPAI	{6}
96	2.6958653065989324	1	3	LPAI	LPAI	{2, 5, 6, 7}
96	2.9445323117301996	1	2	HPAI	HPAI	{3}
96	0.8118719788448061	27	8	HPAI	LPAI	{1}
96	2.671143943414222	1	2	HPAI	HPAI	{1, 4}
96	2.600003085665321	62	1	HPAI	HPAI	{4, 5, 6, 7}
96	7.901274900124065	2	1	LPAI	LPAI	{5}
96	3.259059277659958	25	155	HPAI	LPAI	{4, 6}
96	1.5766753372190578	1	1	HPAI	LPAI	{4}
96	2.6943748134319208	1	1	HPAI	HPAI	{2}
96	3.3885907395190316	53	216	HPAI	LPAI	{4, 5, 6}
97	3.3242712848323777	54	6	HPAI	LPAI	{4, 5, 6}
97	154.88645393507022	3	3	LPAI	LPAI	{1}
97	1.6170056366306085	1	3	HPAI	LPAI	{4}
97	3.022620152886134	1	1	HPAI	LPAI	{4}
97	2.3818480609439803	1	1	HPAI	HPAI	{3, 6}
97	7.407094318746829	1	1	LPAI	LPAI	{2, 3, 5}
97	2.941215643552823	17	1	HPAI	LPAI	{5, 6, 7}
97	3.2175691462055624	9	2	HPAI	HPAI	{1, 3, 5, 7}
97	2.851344773787787	4	1	HPAI	LPAI	{5, 6}
97	3.2299820327887687	25	2	HPAI	LPAI	{4, 6}
97	0.47877056005955865	2	1	HPAI	HPAI	{7}
97	2.6432853280177255	1	2	HPAI	HPAI	{1, 4}
97	3.2716667726787705	149	32	HPAI	LPAI	{3, 4, 5, 6}
97	282.5754678968381	4	2	LPAI	LPAI	{1}
