YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam
2022,40,9129,239,39,19,3,0,5,0
2022,41,8523,364,66,23,3,0,5,0
2022,42,9405,449,114,33,4,1,6,0
2022,43,9449,706,230,51,2,0,3,0
2022,44,10311,917,316,175,4,0,5,0
2022,45,9508,1195,323,192,1,0,2,0
2022,46,11458,1557,443,339,4,0,2,0
2022,47,9795,1844,461,365,1,0,2,0
2022,48,12408,2086,646,661,1,0,3,0
2022,49,11813,2013,548,585,2,0,4,0
2022,50,11451,1729,535,549,1,0,4,0
2022,51,9465,1199,456,480,3,0,6,0
2022,52,8105,850,443,263,0,0,7,0
2023,1,8704,822,398,227,2,0,12,0
2023,2,8314,527,223,96,1,0,13,0
2023,3,7494,324,210,66,4,0,12,0
2023,4,6773,165,123,40,0,0,10,0
2023,5,6156,118,121,24,2,0,18,0
2023,6,7288,115,131,26,6,0,21,0
2023,7,7334,69,85,18,3,0,26,0
2023,8,6673,60,61,17,4,0,14,0
2023,9,7123,53,75,13,8,0,28,0
2023,10,6906,44,75,15,10,0,21,0
2023,11,6185,28,59,8,9,0,25,0
2023,12,6178,38,60,11,15,0,34,0
2023,13,5096,17,57,16,10,0,41,0
2023,14,5036,19,65,11,14,0,37,0
2023,15,4982,6,47,9,11,0,38,0
2023,16,4133,12,33,2,17,0,46,0
2023,17,4106,18,43,2,12,0,50,0
2023,18,3965,9,41,2,11,0,54,0
2023,19,3630,4,50,2,9,0,68,0
2023,20,3252,10,46,3,10,0,61,0
2023,21,2971,3,43,5,15,0,44,0
2023,22,2480,1,57,5,11,0,39,0
2023,23,2696,5,67,3,13,0,58,0
2023,24,2280,3,62,7,8,0,42,0
2023,25,2351,5,68,4,6,0,36,0
2023,26,2417,17,64,5,3,0,54,0
2023,27,1828,1,61,4,4,0,33,0
2023,28,2174,4,59,6,1,0,27,0
2023,29,2112,7,67,1,2,1,16,0
2023,30,1672,5,48,1,1,0,29,0
2023,31,1476,6,74,6,1,0,25,0
2023,32,1963,5,45,8,3,0,32,0
2023,33,1878,13,54,6,1,0,21,0
2023,34,1946,11,59,4,9,0,24,0
2023,35,2046,10,58,9,3,0,12,0
2023,36,2401,8,65,19,6,0,22,0
2023,37,3316,15,59,8,1,0,22,0
2023,38,3221,10,91,6,1,0,35,0
2023,39,3115,10,122,7,6,0,24,0
