YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam
2020,40,11625,0,0,3,2,0,0,0
2020,41,12238,2,3,3,5,0,1,0
2020,42,11400,1,0,4,5,0,0,0
2020,43,15744,1,1,11,4,0,0,0
2020,44,20424,1,0,7,13,0,1,2
2020,45,26500,1,0,6,9,0,0,0
2020,46,25765,4,3,6,5,0,0,1
2020,47,19256,3,0,0,2,0,0,2
2020,48,11230,0,2,6,2,0,1,0
2020,49,17684,0,0,5,4,0,2,3
2020,50,16500,3,3,8,1,0,2,0
2020,51,15179,0,0,5,4,0,0,0
2020,52,12475,0,0,2,2,0,0,0
2020,53,11282,2,1,6,3,0,0,0
2021,1,17564,2,0,6,3,0,1,0
2021,2,15700,1,0,4,3,1,1,0
2021,3,13900,1,0,2,1,0,0,0
2021,4,13218,0,1,2,1,0,0,0
2021,5,16294,0,0,4,3,0,0,0
2021,6,17146,0,0,2,1,0,1,0
2021,7,13415,0,0,3,1,0,0,1
2021,8,16609,1,1,1,5,0,0,0
2021,9,14811,0,0,2,0,0,0,0
2021,10,16938,0,1,1,1,0,1,0
2021,11,14622,1,0,4,2,0,0,0
2021,12,14940,0,0,1,0,0,0,0
2021,13,13875,0,0,5,1,0,0,0
2021,14,14151,0,1,0,0,0,0,0
2021,15,15543,1,1,3,2,0,0,0
2021,16,12397,0,0,0,1,0,0,0
2021,17,12801,0,0,1,0,0,0,0
2021,18,10803,0,0,0,0,0,1,0
2021,19,9396,0,0,0,0,0,0,0
2021,20,10065,0,0,1,0,0,5,0
2021,21,8870,0,0,0,0,0,0,0
2021,22,6798,0,1,2,1,0,0,0
2021,23,5627,0,0,2,0,0,0,0
2021,24,5571,1,0,0,0,0,0,0
2021,25,6290,0,1,0,0,0,1,0
2021,26,7281,0,0,1,0,0,0,0
2021,27,6687,1,1,2,1,0,0,0
2021,28,8934,3,0,3,1,0,1,0
2021,29,8550,2,0,0,0,0,0,0
2021,30,9265,1,1,1,0,0,0,0
2021,31,13519,2,0,3,0,0,0,0
2021,32,16102,1,0,2,0,1,0,0
2021,33,21728,3,0,2,1,0,0,0
2021,34,24120,0,1,5,3,0,0,0
2021,35,24979,0,1,2,1,0,1,0
2021,36,20964,0,0,6,1,0,0,0
2021,37,21209,6,1,3,0,0,4,0
2021,38,19881,22,3,6,0,0,0,0
2021,39,18072,38,0,2,1,0,1,1
