YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam
2023,40,3057,16,176,10,3,0,48,0
2023,41,3060,22,213,12,5,0,68,0
2023,42,3409,26,276,34,12,0,73,0
2023,43,2918,36,240,48,14,0,68,0
2023,44,3158,41,291,63,13,0,90,0
2023,45,3293,61,483,111,29,0,133,0
2023,46,3891,103,486,149,43,0,142,0
2023,47,3018,124,579,140,27,0,140,0
2023,48,4215,176,707,174,24,0,219,0
2023,49,4510,271,970,245,52,0,261,0
2023,50,4983,282,998,421,81,0,292,0
2023,51,5055,326,1220,300,36,0,267,0
2023,52,4470,295,1200,275,21,0,230,0
2024,1,4859,327,1097,267,57,0,311,0
2024,2,5084,337,904,279,60,0,257,0
2024,3,3781,291,777,181,46,0,208,0
2024,4,4273,392,759,187,55,0,272,0
2024,5,4090,392,688,141,53,0,363,0
2024,6,3993,433,598,169,63,0,430,0
2024,7,4161,428,508,147,56,0,438,0
2024,8,3959,426,470,171,63,0,481,0
2024,9,3973,379,452,139,48,0,447,0
2024,10,3615,389,352,122,39,0,463,0
2024,11,3068,316,255,108,32,0,393,0
2024,12,2807,290,231,95,34,0,312,0
2024,13,2683,266,209,66,30,0,262,0
2024,14,1978,279,173,51,31,0,243,0
2024,15,1797,255,173,41,15,0,220,0
2024,16,1570,186,124,59,25,0,161,0
2024,17,1376,136,90,28,20,0,126,0
2024,18,1179,118,89,27,11,0,81,0
2024,19,1090,77,45,19,17,0,66,0
2024,20,793,37,28,18,12,0,22,0
2024,21,619,19,12,14,4,0,2,0
