time	normalized_counts	method
-2.40509114144038	0.0138402611981202	susceptible depletion
-2.24038068884734	0.00469195539392616	susceptible depletion
-2.07567023625429	0.0208903139275655	susceptible depletion
-1.91095978366125	0.0100272060700893	susceptible depletion
-1.74624933106821	0.0370485776972591	susceptible depletion
-1.58153887847516	0.0266507654100353	susceptible depletion
-1.41682842588212	0.046527720069933	susceptible depletion
-1.25211797328908	0.0740378904878427	susceptible depletion
-1.08740752069603	0.0734153891871352	susceptible depletion
-0.922697068102991	0.0932256944979868	susceptible depletion
-0.757986615509948	0.104365346288753	susceptible depletion
-0.593276162916905	0.121245905823222	susceptible depletion
-0.428565710323862	0.133787936871692	susceptible depletion
-0.263855257730819	0.134948403609144	susceptible depletion
-0.0991448051377755	0.145381303421239	susceptible depletion
0.0655656474552677	0.168847182366886	susceptible depletion
0.230276100048311	0.149555187690325	susceptible depletion
0.394986552641354	0.153113131215361	susceptible depletion
0.559697005234397	0.1234960140779	susceptible depletion
0.72440745782744	0.118070925934236	susceptible depletion
0.889117910420483	0.115665146789034	susceptible depletion
1.05382836301353	0.115353571052612	susceptible depletion
1.21853881560657	0.096814359940808	susceptible depletion
1.38324926819961	0.0801946822746528	susceptible depletion
1.54795972079266	0.0797268297742174	susceptible depletion
1.7126701733857	0.0730458844219334	susceptible depletion
1.87738062597874	0.0640474957131645	susceptible depletion
2.04209107857179	0.0510980677432523	susceptible depletion
2.20680153116483	0.0481174063194112	susceptible depletion
2.37151198375787	0.0487555894604175	susceptible depletion
2.53622243635091	0.0324216868866215	susceptible depletion
2.70093288894396	0.0231602402908957	susceptible depletion
2.865643341537	0.0428666283095404	susceptible depletion
3.03035379413004	0.0346613609745257	susceptible depletion
3.19506424672309	0.0164143433253517	susceptible depletion
3.35977469931613	0.013016960954925	susceptible depletion
3.52448515190917	0.0396550490218647	susceptible depletion
3.68919560450222	0.02101735899105	susceptible depletion
3.85390605709526	0.0118030074170336	susceptible depletion
4.0186165096883	0.0176194337388879	susceptible depletion
4.18332696228135	0	susceptible depletion
4.34803741487439	0.0279993061974565	susceptible depletion
4.51274786746743	0.00631921511570486	susceptible depletion
4.67745832006048	0.00719565375540478	susceptible depletion
4.84216877265352	0.00828241434915718	susceptible depletion
5.00687922524656	0.00953361970825385	susceptible depletion
5.1715896778396	0	susceptible depletion
5.33630013043265	0	susceptible depletion
5.50101058302569	0	susceptible depletion
5.66572103561873	0.0170003186908702	susceptible depletion
-2.40509114144038	0.0146494543245481	transmission rate limited
-2.24038068884734	0.00481288418491762	transmission rate limited
-2.07567023625429	0.0218918648519714	transmission rate limited
-1.91095978366125	0.00777896430674653	transmission rate limited
-1.74624933106821	0.0200488152608887	transmission rate limited
-1.58153887847516	0.0235250351857152	transmission rate limited
-1.41682842588212	0.0423015722630814	transmission rate limited
-1.25211797328908	0.0693190523529692	transmission rate limited
-1.08740752069603	0.0748279027537527	transmission rate limited
-0.922697068102991	0.0751138396742061	transmission rate limited
-0.757986615509948	0.0916773300957758	transmission rate limited
-0.593276162916905	0.0889037700872388	transmission rate limited
-0.428565710323862	0.0918622845190153	transmission rate limited
-0.263855257730819	0.0863996545786936	transmission rate limited
-0.0991448051377755	0.0854411006214975	transmission rate limited
0.0655656474552677	0.0759937155752624	transmission rate limited
0.230276100048311	0.0645024321287124	transmission rate limited
0.394986552641354	0.043624011137358	transmission rate limited
0.559697005234397	0.0411552900176546	transmission rate limited
0.72440745782744	0.0329929107680038	transmission rate limited
0.889117910420483	0.0220278009796129	transmission rate limited
1.05382836301353	0.0178922955355307	transmission rate limited
1.21853881560657	0.012179634948573	transmission rate limited
1.38324926819961	0.0150159532977266	transmission rate limited
1.54795972079266	0.0110385809263762	transmission rate limited
1.7126701733857	0.00876681658198852	transmission rate limited
1.87738062597874	0.00679201412209642	transmission rate limited
2.04209107857179	0.00415912924704247	transmission rate limited
2.20680153116483	0.00574886876670985	transmission rate limited
2.37151198375787	0.00218105429876431	transmission rate limited
2.53622243635091	0.002427482276793	transmission rate limited
2.70093288894396	0.00275871318374026	transmission rate limited
2.865643341537	0	transmission rate limited
3.03035379413004	0.00733313874877705	transmission rate limited
3.19506424672309	0	transmission rate limited
3.35977469931613	0	transmission rate limited
3.52448515190917	0.00267762005388646	transmission rate limited
3.68919560450222	0.0029350705783772	transmission rate limited
3.85390605709526	0	transmission rate limited
4.0186165096883	0	transmission rate limited
4.18332696228135	0	transmission rate limited
4.34803741487439	0	transmission rate limited
4.51274786746743	0	transmission rate limited
4.67745832006048	0	transmission rate limited
4.84216877265352	0	transmission rate limited
5.00687922524656	0	transmission rate limited
5.1715896778396	0	transmission rate limited
5.33630013043265	0	transmission rate limited
5.50101058302569	0	transmission rate limited
5.66572103561873	0	transmission rate limited
