PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2021,40,13140,13154,7466,X,3201,2574,39535,2007349,3501,1.96951,2.04291
2021,41,13072,11985,7120,X,2975,2486,37638,1973726,3510,1.90695,1.94883
2021,42,12500,11458,6458,X,2943,2355,35714,1918176,3474,1.86187,1.92689
2021,43,12859,11888,6677,X,2853,2362,36639,1934723,3509,1.89376,1.9797
2021,44,13304,14454,6968,X,2930,2374,40030,1917361,3515,2.08777,2.13555
2021,45,14565,15840,7836,X,3192,2730,44163,1980931,3530,2.22941,2.26828
2021,46,14740,17358,8523,X,3639,2816,47076,1997393,3526,2.35687,2.41203
2021,47,14918,13401,8183,X,3719,3103,43324,1762089,3519,2.45867,2.51906
2021,48,15167,17353,11304,X,4893,4012,52729,2056903,3545,2.56351,2.55518
2021,49,14971,19971,11373,X,4863,3891,55069,2025745,3544,2.71846,2.73156
2021,50,16287,23450,13615,X,5232,3961,62545,2018736,3518,3.09823,3.14637
2021,51,18515,25073,22557,X,7773,5307,79225,1942424,3496,4.07867,4.00697
2021,52,24109,28952,38300,X,13512,8989,113862,2246237,3455,5.06901,4.90255
2022,1,17044,24738,31478,X,12063,7939,93262,2178681,3487,4.28066,4.32609
2022,2,12223,20214,21830,X,8735,6181,69183,2025389,3499,3.41579,3.53446
2022,3,9492,13268,15006,X,6185,4547,48498,1811003,3503,2.67796,2.80631
2022,4,7309,9526,9877,X,4582,3516,34810,1760073,3485,1.97776,2.07428
2022,5,6082,7748,6431,X,3018,2552,25831,1654872,3415,1.56091,1.68283
2022,6,6395,7610,5170,X,2401,2155,23731,1763832,3474,1.34542,1.44399
2022,7,6917,8500,4645,X,2083,1801,23946,1746795,3474,1.37085,1.49042
2022,8,7057,8330,4638,X,1816,1768,23609,1722955,3472,1.37026,1.46656
2022,9,7423,9830,5008,X,1864,1676,25801,1813130,3470,1.42301,1.58712
2022,10,8210,11085,5060,X,1951,1771,28077,1815133,3485,1.54683,1.70414
2022,11,9042,12124,5914,X,2202,2077,31359,1867926,3454,1.67881,1.83426
2022,12,9302,12648,5973,X,2334,2166,32423,1869370,3449,1.73443,1.87437
2022,13,9613,13660,6759,X,2384,2406,34822,1877580,3443,1.85462,1.97666
2022,14,10562,15187,7272,X,2573,2550,38144,1912899,3453,1.99404,2.07192
2022,15,11336,16095,7838,X,2868,2829,40966,1923613,3446,2.12964,2.16356
2022,16,11734,15748,8315,X,3172,3117,42086,1927635,3457,2.1833,2.20516
2022,17,12070,16372,8422,X,3274,3282,43420,1960190,3426,2.21509,2.30897
2022,18,12835,18631,9402,X,3608,3323,47799,1979830,3394,2.4143,2.36195
2022,19,14243,19989,10135,X,3843,3815,52025,1994121,3376,2.60892,2.55252
2022,20,15055,20746,10460,X,3985,3835,54081,2076569,3414,2.60434,2.4544
2022,21,14561,19982,10167,X,4010,3665,52385,1963229,3351,2.66831,2.39129
2022,22,15809,17507,10584,X,4060,3903,51863,1959711,3345,2.64646,2.43334
2022,23,14154,13726,9654,X,3941,3765,45240,1972714,3342,2.29329,2.16338
2022,24,12858,11205,8941,X,3665,3581,40250,1940597,3302,2.0741,1.9885
2022,25,11865,9933,8676,X,3736,3620,37830,1972297,3355,1.91807,1.87681
2022,26,11066,8513,8004,X,3523,3460,34566,1918113,3237,1.80208,1.80431
2022,27,10580,8593,8380,X,3697,3733,34983,1951013,3345,1.79307,1.8187
2022,28,9525,8111,8324,X,3546,3505,33011,1978256,3313,1.66869,1.67889
2022,29,9361,8116,8219,X,3483,3432,32611,1977461,3313,1.64913,1.66049
2022,30,9153,7859,8056,X,3485,3487,32040,1944189,3289,1.64799,1.67087
2022,31,8659,7476,7295,X,3104,3107,29641,1938338,3305,1.5292,1.53015
2022,32,8329,7813,6816,X,2804,2880,28642,1887562,3198,1.51741,1.51566
2022,33,9479,9934,6659,X,2819,2681,31572,1949894,3293,1.61916,1.60511
2022,34,10792,12593,7079,X,2730,2593,35787,1975601,3280,1.81145,1.83833
2022,35,11524,13887,6980,X,2670,2452,37513,1978914,3260,1.89564,1.96617
2022,36,12548,13475,6978,X,2701,2632,38334,1966513,3290,1.94934,2.02613
2022,37,13405,14610,6751,X,2618,2454,39838,2017799,3322,1.97433,2.04444
2022,38,15939,16713,6924,X,2658,2492,44726,2033022,3334,2.19998,2.29157
2022,39,17080,16825,6945,X,2795,2676,46321,2015431,3353,2.29832,2.37316
