PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2022,40,18503,20141,10718,X,4094,3862,57318,2209814,3684,2.59379,2.61928
2022,41,20623,22779,11519,X,4394,4073,63388,2223106,3720,2.85133,2.97342
2022,42,23713,28368,13719,X,5303,4512,75615,2279700,3726,3.31688,3.33747
2022,43,32012,45003,19586,X,7037,5858,109496,2462467,3788,4.4466,4.40914
2022,44,37474,61015,25460,X,8469,6829,139247,2510305,3776,5.54702,5.46044
2022,45,38651,57053,26941,X,9791,7619,140055,2468962,3793,5.67263,5.77391
2022,46,34849,55229,28672,X,10171,8498,137419,2396019,3777,5.73531,5.95367
2022,47,39539,62925,36157,X,13876,12439,164936,2237505,3765,7.37142,7.46674
2022,48,38495,63623,48042,X,18626,16887,185673,2564503,3767,7.24012,7.22916
2022,49,32316,62563,40778,X,16557,15034,167248,2448985,3750,6.82928,6.83803
2022,50,28976,55613,38007,X,15506,13570,151672,2347026,3751,6.46231,6.32716
2022,51,25500,41624,34587,X,14564,13703,129978,2116491,3715,6.1412,5.98024
2022,52,22891,27251,31974,X,14961,15454,112531,2058533,3703,5.46656,5.33738
2023,1,16651,21006,27662,X,13549,13166,92034,2257219,3740,4.07732,3.94632
2023,2,12231,18061,19912,X,9135,8381,67720,2214718,3737,3.05773,2.95379
2023,3,11720,16915,15844,X,7000,6291,57770,2134322,3730,2.70671,2.64461
2023,4,12170,18680,15618,X,6410,5353,58231,2179097,3716,2.67225,2.63254
2023,5,12686,19751,15506,X,6113,5270,59326,2208786,3734,2.68591,2.58785
2023,6,13271,20964,15921,X,6469,5633,62258,2301891,3735,2.70465,2.59797
2023,7,13127,19818,15055,X,6263,5402,59665,2262519,3695,2.6371,2.57397
2023,8,13478,18410,13880,X,6054,5401,57223,2212367,3719,2.58651,2.53338
2023,9,12693,18281,13849,X,5769,5090,55682,2278801,3725,2.44348,2.41141
2023,10,12840,18388,13379,X,5365,4714,54686,2274369,3722,2.40445,2.36135
2023,11,13086,17814,13264,X,5298,4801,54263,2228243,3713,2.43524,2.35552
2023,12,13043,18685,13685,X,5286,4695,55394,2295244,3665,2.41343,2.31452
2023,13,12413,18078,13208,X,5005,4638,53342,2270922,3688,2.34891,2.26061
2023,14,11586,15673,11976,X,4783,4337,48355,2191695,3680,2.20628,2.13495
2023,15,11151,14832,11853,X,4552,4337,46725,2254413,3665,2.0726,2.01808
2023,16,9912,14788,11388,X,4361,4058,44507,2277306,3680,1.95437,1.91773
2023,17,10041,15803,11176,X,4133,3649,44802,2270577,3677,1.97315,1.91233
2023,18,10013,16115,11224,X,4283,3947,45582,2259439,3652,2.0174,1.95706
2023,19,10187,16725,11067,X,4072,3718,45769,2295923,3654,1.99349,1.92178
2023,20,9740,15517,10697,X,3875,3458,43287,2201602,3653,1.96616,1.88696
2023,21,9389,14611,10386,X,3640,3490,41516,2169098,3518,1.91398,1.83831
2023,22,9568,14220,10413,X,3845,3543,41589,2145684,3601,1.93826,1.85243
2023,23,8309,11628,9954,X,3622,3426,36939,2182091,3583,1.69283,1.58197
2023,24,7741,10223,9289,X,3447,3180,33880,2151633,3589,1.57462,1.49009
2023,25,6998,8941,8727,X,3236,2987,30889,2139112,3582,1.44401,1.36698
2023,26,6388,8012,8130,X,3046,2910,28486,2151758,3539,1.32385,1.276
2023,27,5944,7475,7472,X,2940,2817,26648,2064286,3569,1.29091,1.23501
2023,28,5608,7043,7567,X,2925,2760,25903,2155400,3542,1.20177,1.16269
2023,29,5718,6836,7476,X,2931,2841,25802,2163359,3560,1.19268,1.12962
2023,30,5812,7046,7475,X,3137,2947,26417,2146245,3551,1.23085,1.1716
2023,31,5678,6966,7979,X,3273,3000,26896,2132922,3542,1.26099,1.20886
2023,32,5982,7764,8642,X,3560,3365,29313,2156467,3521,1.35931,1.28069
2023,33,6688,9759,9791,X,3784,3641,33663,2186399,3533,1.53965,1.45906
2023,34,8234,13151,11256,X,4300,4038,40979,2243946,3524,1.8262,1.72129
2023,35,8980,14664,11792,X,4630,4345,44411,2245988,3537,1.97735,1.95643
2023,36,9546,14159,11819,X,4621,4589,44734,2209523,3538,2.0246,2.02622
2023,37,9485,14904,11798,X,4699,4401,45287,2274050,3558,1.99147,1.95721
2023,38,10912,16162,11970,X,4711,4510,48265,2261308,3558,2.13438,2.04894
2023,39,11376,16110,12299,X,4934,4550,49269,2260617,3552,2.17945,2.10325
