PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2023,40,13511,18994,13430,X,5290,5052,56277,2491208,4127,2.25902,2.29246
2023,41,14403,18523,13938,X,5428,5088,57380,2484565,4145,2.30946,2.32301
2023,42,15712,20287,14455,X,5812,6187,62453,2483573,4131,2.51464,2.54346
2023,43,16971,22354,15452,X,6072,6700,67549,2521074,4156,2.67937,2.731
2023,44,17784,24733,16573,X,6335,6687,72112,2476504,4150,2.91185,2.97132
2023,45,21454,29393,19306,X,7423,7741,85317,2566043,4146,3.32485,3.43915
2023,46,22011,30763,21538,X,8074,8411,90797,2542038,4149,3.57182,3.72221
2023,47,22379,25918,20377,X,8365,8408,85447,2255631,4162,3.78816,3.96418
2023,48,22624,30290,28320,X,11121,11193,103548,2615382,4135,3.95919,4.06554
2023,49,23342,38072,28996,X,12182,11359,113951,2617107,4098,4.35408,4.42345
2023,50,26060,48218,34987,X,13983,12561,135809,2608352,4112,5.2067,5.23015
2023,51,29750,53426,45227,X,18090,16604,163097,2584619,4083,6.31029,6.29282
2023,52,31461,41750,50010,X,21678,21694,166593,2412825,4075,6.90448,6.8564
2024,1,24655,32258,46988,X,20517,19363,143781,2495406,4100,5.76183,5.76741
2024,2,18131,31354,37073,X,16385,15375,118318,2489300,4099,4.75306,4.71015
2024,3,16144,29093,30545,X,12622,11542,99946,2297263,4107,4.35066,4.37484
2024,4,16212,34316,31772,X,12481,10636,105417,2495647,4133,4.22403,4.29014
2024,5,17248,38471,30387,X,11582,10037,107725,2517942,4113,4.2783,4.4668
2024,6,17948,41690,31575,X,11534,10035,112782,2563315,4117,4.39985,4.5072
2024,7,17382,38863,30743,X,11232,9949,108169,2495667,4104,4.33427,4.39805
2024,8,17646,36980,31224,X,11317,10161,107328,2485596,4097,4.318,4.3728
2024,9,17319,35881,30524,X,11034,9901,104659,2565801,4095,4.079,4.09678
2024,10,16483,33026,26583,X,9693,8812,94597,2535123,4100,3.73146,3.7535
2024,11,15865,29103,23687,X,8455,7731,84841,2495034,4038,3.40039,3.43519
2024,12,15080,26499,21994,X,7822,7114,78509,2490232,4092,3.15268,3.1131
2024,13,14421,23515,21212,X,7492,7097,73737,2431963,4086,3.032,2.99504
2024,14,13905,20433,20122,X,7140,6769,68369,2415383,4056,2.83057,2.78998
2024,15,13253,19684,18210,X,6839,6371,64357,2482943,4069,2.59196,2.56044
2024,16,11827,18265,15612,X,5935,5762,57401,2502165,4053,2.29405,2.26788
2024,17,11388,18097,14867,X,5630,5284,55266,2464483,4025,2.2425,2.20681
2024,18,10931,17565,14241,X,5353,5119,53209,2481924,3979,2.14386,2.12283
2024,19,10072,16413,13387,X,5166,4989,50027,2451273,4011,2.04086,2.02991
2024,20,9986,15656,13115,X,5026,4933,48716,2397315,3945,2.03211,2.00351
2024,21,8908,13855,12213,X,4864,4651,44491,2301946,3744,1.93276,1.89731
