Province,Common Name,Scientific Name,Animal Class,Bird Group,Collection Date,Status,Result,Strain,Lineage,Result Authorised Date,CCSNAME
Saskatchewan,Ross's Goose,Anser rossii,Avian,Waterfowl,10/26/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/4/23,Saskatoon
Newfoundland and Labrador,Common Eider,Somateria mollissima,Avian,Waterfowl,10/26/22,Dead,Confirmed,H5N1,Reassortment EU&NA,11/17/22,"Division No. 10, Subd. A"
Northwest Territories,Common Raven,Corvus corax,Avian,Corvid,10/26/22,Dead,Confirmed,H5N1,Fully Eurasian,11/23/23,"Region 4, Unorganized"
Saskatchewan,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,10/26/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/8/22,Clinworth No. 230
Manitoba,Canvasback,Aythya valisineria,Avian,Waterfowl,10/26/22,Harvest,Confirmed,H5N1,Reassortment EU&NA,1/20/23,Portage la Prairie
Ontario,Turkey Vulture,Cathartes aura,Avian,Raptor,10/26/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/28/23,Clarington
Alberta,Rough-Legged Hawk,Buteo lagopus,Avian,Raptor,10/27/22,NA,Confirmed,H5N1,Reassortment EU&NA,5/16/23,Sturgeon County
Alberta,Mallard,Anas platyrhynchos,Avian,Waterfowl,10/27/22,NA,Confirmed,H5N1,Reassortment EU&NA,5/16/23,Edmonton
British Columbia,Peregrine Falcon,Falco peregrinus,Avian,Raptor,10/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Metro Vancouver A
British Columbia,Cackling Goose,Branta hutchinsii,Avian,Waterfowl,10/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Delta
Alberta,Canada Goose,Branta canadensis,Avian,Waterfowl,10/27/22,NA,Confirmed,H5N1,Reassortment EU&NA,5/16/23,Barrhead County No. 11
British Columbia,Great Horned Owl,Bubo virginianus,Avian,Raptor,10/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Delta
Alberta,Common Raven,Corvus corax,Avian,Corvid,10/27/22,NA,Confirmed,H5N1,Reassortment EU&NA,5/16/23,Grande Prairie County No. 1
