Province,Common Name,Scientific Name,Animal Class,Bird Group,Collection Date,Status,Result,Strain,Lineage,Result Authorised Date,CCSNAME
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,11/4/21,Dead,Confirmed,H5N1,Fully Eurasian,1/10/22,"Division No.  1, Subd. H"
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,11/26/21,Dead,Confirmed,H5N1,Fully Eurasian,12/29/21,St. John's
Newfoundland and Labrador,Northern Saw-whet Owl,Aegolius acadicus,Avian,Raptor,12/12/21,Euthanized,Confirmed,H5N1,Fully Eurasian,1/25/22,St. John's
Newfoundland and Labrador,American Black Duck,Anas rubripes,Avian,Waterfowl,12/24/21,Live,Confirmed,H5N1,Fully Eurasian,1/14/22,St. John's
Newfoundland and Labrador,American Black Duck,Anas rubripes,Avian,Waterfowl,12/24/21,Live,Confirmed,H5N1,Fully Eurasian,1/14/22,St. John's
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,12/29/21,Euthanized,Confirmed,H5N1,Fully Eurasian,1/25/22,St. John's
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,1/7/22,Euthanized,Confirmed,H5N1,Fully Eurasian,1/25/22,"Division No.  1, Subd. H"
Nova Scotia,Canada Goose,Branta canadensis,Avian,Waterfowl,1/12/22,Dead,Confirmed,H5N1,Fully Eurasian,1/27/22,Halifax
Newfoundland and Labrador,Herring Gull,Larus argentatus,Avian,Seabird,1/14/22,Euthanized,Confirmed,H5N1,Fully Eurasian,2/4/22,St. John's
Newfoundland and Labrador,American Crow,Corvus brachyrhynchos,Avian,Corvid,1/18/22,Dead,Confirmed,H5N1,Fully Eurasian,2/11/22,"Division No.  9, Subd. F"
Prince Edward Island,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,1/22/22,Dead,Confirmed,H5N1,Fully Eurasian,2/25/22,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico"
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/26/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/27/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/27/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/27/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/27/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,1/27/22,Live,Confirmed,H5N1,Fully Eurasian,2/28/22,West Hants
Nova Scotia,Turkey Vulture,Cathartes aura,Avian,Raptor,1/31/22,Dead,Confirmed,H5N1,Fully Eurasian,3/4/22,Cape Breton
Newfoundland and Labrador,Herring Gull,Larus argentatus,Avian,Seabird,1/31/22,Euthanized,Confirmed,H5N1,Fully Eurasian,2/11/22,St. John's
Newfoundland and Labrador,Herring Gull,Larus argentatus,Avian,Seabird,1/31/22,Dead,Confirmed,H5N1,Fully Eurasian,2/18/22,St. John's
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,2/1/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/8/22,"Pictou, Subd. C"
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,2/2/22,Euthanized,Confirmed,H5N1,Fully Eurasian,2/28/22,St. John's
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,2/2/22,Euthanized,Confirmed,H5N1,Fully Eurasian,2/28/22,St. John's
Nova Scotia,Common Merganser,Mergus merganser,Avian,Waterfowl,2/4/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/8/22,"Pictou, Subd. C"
Nova Scotia,Mallard,Anas platyrhynchos,Avian,Waterfowl,2/7/22,Dead,Confirmed,H5N1,Fully Eurasian,3/8/22,Yarmouth
Nova Scotia,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,2/8/22,Dead,Confirmed,H5N1,Fully Eurasian,2/28/22,"Kings, Subd. B"
Nova Scotia,Blue Jay,Cyanocitta cristata,Avian,Corvid,2/8/22,Dead,Confirmed,H5N1,Fully Eurasian,2/28/22,"Kings, Subd. D"
New Brunswick,Bufflehead,Bucephala albeola,Avian,Waterfowl,2/8/22,Dead,Confirmed,H5N1,Fully Eurasian,3/23/22,Saint Martins
Nova Scotia,Canada Goose,Branta canadensis,Avian,Waterfowl,2/9/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/22/22,"Antigonish, Subd. B"
New Brunswick,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,2/10/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Chipman
British Columbia,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,2/10/22,Dead,Confirmed,H5N1,Fully Eurasian,2/25/22,Vancouver
Nova Scotia,Canada Goose,Branta canadensis,Avian,Waterfowl,2/10/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/7/22,"Kings, Subd. D"
Newfoundland and Labrador,Ruffed Grouse,Bonasa umbellus,Avian,Other,2/11/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,St. John's
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/12/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,Sussex
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/12/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,Sussex
Nova Scotia,Herring Gull,Larus argentatus,Avian,Seabird,2/12/22,Dead,Confirmed,H5N1,Fully Eurasian,3/4/22,Halifax
Nova Scotia,Great Black-Backed Gull,Larus marinus,Avian,Seabird,2/13/22,Dead,Confirmed,H5N1,Fully Eurasian,3/4/22,Halifax
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/15/22,Dead,Confirmed,H5N1,Fully Eurasian,3/23/22,Studholm
Nova Scotia,Red-Breasted Merganser,Mergus serrator,Avian,Waterfowl,2/15/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,"Pictou, Subd. B"
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/16/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/4/22,Charlottetown
Nova Scotia,Broad-winged Hawk,Buteo platypterus,Avian,Raptor,2/16/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,"Kings, Subd. B"
Nova Scotia,Great Black-Backed Gull,Larus marinus,Avian,Seabird,2/18/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,Halifax
Nova Scotia,Blue Jay,Cyanocitta cristata,Avian,Corvid,2/18/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,"Kings, Subd. B"
New Brunswick,Great Black-Backed Gull,Larus marinus,Avian,Seabird,2/18/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/4/22,Coverdale
Newfoundland and Labrador,Common Eider,Somateria mollissima,Avian,Waterfowl,2/21/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/15/22,St. John's
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/22/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,Studholm
New Brunswick,Snowy Owl,Bubo scandiacus,Avian,Raptor,2/22/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Weldford
Newfoundland and Labrador,Herring Gull,Larus argentatus,Avian,Seabird,2/23/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,St. John's
Prince Edward Island,Snowy Owl,Bubo scandiacus,Avian,Raptor,2/23/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/15/22,Souris
Nova Scotia,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,2/23/22,Dead,Confirmed,H5N1,Fully Eurasian,3/23/22,"Kings, Subd. C"
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/23/22,Dead,Confirmed,H5N1,Fully Eurasian,3/22/22,Sussex
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/24/22,Dead,Confirmed,H5N1,Fully Eurasian,3/17/22,Studholm
Newfoundland and Labrador,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/25/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,"Division No.  1, Subd. E"
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,2/26/22,Dead,Confirmed,H5N1,Fully Eurasian,3/15/22,Charlottetown
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,3/1/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/23/22,St. John's
Nova Scotia,Common Raven,Corvus corax,Avian,Corvid,3/2/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,Guysborough
Newfoundland and Labrador,Common Eider,Somateria mollissima,Avian,Waterfowl,3/2/22,Dead,Confirmed,H5N1,Fully Eurasian,8/17/23,"Division No.  7, Subd. F"
Prince Edward Island,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/3/22,Dead,Confirmed,H5N1,Fully Eurasian,3/23/22,O'Leary
New Brunswick,Common Raven,Corvus corax,Avian,Corvid,3/5/22,Dead,Confirmed,H5Nx,Unknown,6/9/22,Coverdale
Prince Edward Island,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,3/8/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Charlottetown
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/8/22,Dead,Confirmed,H5N1,Fully Eurasian,5/4/22,Coverdale
Prince Edward Island,Common Raven,Corvus corax,Avian,Corvid,3/9/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Crossroads
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/9/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Crossroads
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/9/22,Dead,Confirmed,H5N1,Fully Eurasian,5/4/22,Coverdale
Nova Scotia,Canada Goose,Branta canadensis,Avian,Waterfowl,3/9/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/4/22,Cape Breton
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/11/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,West River
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/11/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Morell
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/11/22,Dead,Confirmed,H5N1,Fully Eurasian,6/9/22,Sussex
Ontario,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,3/11/22,Euthanized,Confirmed,H5N1,Reassortment EU&NA,3/21/22,Wilmot
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/11/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Charlottetown
Newfoundland and Labrador,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/12/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,St. John's
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/13/22,Dead,Confirmed,H5N1,Fully Eurasian,6/15/22,Dumbarton
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/14/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Charlottetown
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/14/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Charlottetown
Prince Edward Island,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/14/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,Three Rivers
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/14/22,Dead,Confirmed,H5N1,Fully Eurasian,3/25/22,Charlottetown
Ontario,Redhead,Aythya Americana,Avian,Waterfowl,3/15/22,Dead,Confirmed,H5N1,Fully Eurasian,3/24/22,Kingston
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/15/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,Charlottetown
Nova Scotia,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/16/22,Dead,Confirmed,H5N1,Fully Eurasian,1/16/23,Halifax
New Brunswick,Common Raven,Corvus corax,Avian,Corvid,3/17/22,Dead,Confirmed,H5N1,Fully Eurasian,5/4/22,Moncton
New Brunswick,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/17/22,Dead,Confirmed,H5N1,Fully Eurasian,6/9/22,Studholm
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,3/17/22,Euthanized,Confirmed,H5N1,Reassortment EU&NA,4/1/22,Saint-Jean-sur-Richelieu
Nova Scotia,Canada Goose,Branta canadensis,Avian,Waterfowl,3/18/22,Dead,Confirmed,H5N1,Fully Eurasian,6/15/22,Cape Breton
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/18/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,"Kensington, Part 1"
Nova Scotia,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/20/22,Dead,Confirmed,H5N1,Fully Eurasian,6/15/22,"Colchester, Subd. A"
Newfoundland and Labrador,Great Black-Backed Gull,Larus marinus,Avian,Seabird,3/21/22,Dead,Confirmed,H5N1,Fully Eurasian,8/17/23,St. John's
Prince Edward Island,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,3/21/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,Charlottetown
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/21/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,Crossroads
Ontario,Red-Breasted Merganser,Mergus serrator,Avian,Waterfowl,3/21/22,Dead,Confirmed,H5N1,Fully Eurasian,3/30/22,Leamington
Prince Edward Island,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/21/22,Dead,Confirmed,H5N1,Fully Eurasian,4/21/22,North Shore
Nova Scotia,Great Black-Backed Gull,Larus marinus,Avian,Seabird,3/21/22,Dead,Confirmed,H5N1,Fully Eurasian,5/4/22,Halifax
Nova Scotia,Great Black-Backed Gull,Larus marinus,Avian,Seabird,3/22/22,Dead,Confirmed,H5N1,Fully Eurasian,1/16/23,Halifax
Ontario,Hooded Merganser,Lophodytes cucullatus,Avian,Waterfowl,3/22/22,Dead,Confirmed,H5N1,Fully Eurasian,1/16/23,Plympton-Wyoming
Nova Scotia,Great Black-Backed Gull,Larus marinus,Avian,Seabird,3/22/22,Dead,Confirmed,H5N1,Fully Eurasian,1/16/23,Halifax
Ontario,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/16/23,Norfolk County
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,3/23/22,Euthanized,Confirmed,H5N1,Fully Eurasian,3/30/22,Ottawa
Nova Scotia,Great Black-Backed Gull,Larus marinus,Avian,Seabird,3/23/22,Dead,Confirmed,H5N1,Fully Eurasian,5/4/22,Halifax
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,3/23/22,Euthanized,Confirmed,H5N1,Reassortment EU&NA,4/1/22,Saint-Isidore
Nova Scotia,Great Black-Backed Gull,Larus marinus,Avian,Seabird,3/23/22,Dead,Confirmed,H5N1,Fully Eurasian,1/16/23,Halifax
Ontario,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/2/22,Blandford-Blenheim
Quebec,Canada Goose,Branta canadensis,Avian,Waterfowl,3/25/22,Euthanized,Confirmed,H5N1,Reassortment EU&NA,4/1/22,Granby
Quebec,Herring Gull,Larus argentatus,Avian,Seabird,3/25/22,Dead,Confirmed,H5N1,Reassortment EU&NA,8/15/22,Rigaud
Newfoundland and Labrador,American Crow,Corvus brachyrhynchos,Avian,Corvid,3/25/22,Dead,Confirmed,H5N1,Fully Eurasian,5/6/22,"Division No.  3, Subd. A"
Ontario,Turkey Vulture,Cathartes aura,Avian,Raptor,3/26/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/2/22,Enniskillen
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,3/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/11/22,Monet No. 257
Nova Scotia,Ring-Necked Pheasant,Phasianus colchicus,Avian,Other,3/28/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/17/22,"Kings, Subd. D"
Ontario,Common Raven,Corvus corax,Avian,Corvid,3/28/22,NA,Confirmed,H5N1,Reassortment EU&NA,8/29/22,North Dundas
Saskatchewan,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/28/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Wellington No. 97
Quebec,Canada Goose,Branta canadensis,Avian,Waterfowl,3/29/22,Dead,Confirmed,H5N1,Reassortment EU&NA,8/18/22,Magog
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,3/29/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/16/22,Drummond/North Elmsley
Quebec,Snowy Owl,Bubo scandiacus,Avian,Raptor,3/29/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/6/22,Baie-du-Febvre
Ontario,Canvasback,Aythya valisineria,Avian,Waterfowl,3/29/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/23,Lakeshore
Saskatchewan,Ross's Goose,Anser rossii,Avian,Waterfowl,3/30/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Kindersley No. 290
Ontario,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/30/22,Euthanized,Confirmed,H5N1,Reassortment EU&NA,6/9/22,Chatham-Kent
Quebec,Snowy Owl,Bubo scandiacus,Avian,Raptor,3/30/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/6/22,Salaberry-de-Valleyfield
Saskatchewan,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,3/31/22,Dead,Confirmed,H5N1,Reassortment EU&NA,2/22/23,Lone Tree No. 18
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,3/31/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/26/22,Vaughan
Saskatchewan,Canada Goose,Branta canadensis,Avian,Waterfowl,3/31/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Bone Creek No. 108
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,3/31/22,Euthanized,Confirmed,H5N1,Fully Eurasian,9/8/22,Ottawa
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/1/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/27/22,Excelsior No. 166
Newfoundland and Labrador,Common Raven,Corvus corax,Avian,Corvid,4/1/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/16/22,"Division No.  1, Subd. E"
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/1/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/29/22,King
Ontario,American Crow,Corvus brachyrhynchos,Avian,Corvid,4/1/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/29/22,Quinte West
Prince Edward Island,American Crow,Corvus brachyrhynchos,Avian,Corvid,4/1/22,Dead,Confirmed,H5N1,Reassortment EU&NA,5/16/22,Vernon River
Ontario,Snowy Owl,Bubo scandiacus,Avian,Raptor,4/1/22,Dead,Confirmed,H5N1,Fully Eurasian,5/10/22,Loyalist
Quebec,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,4/2/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/15/22,Pike River
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/2/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/29/22,Toronto
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/2/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/27/22,Excelsior No. 166
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/2/22,Euthanized,Confirmed,H5N1,Fully Eurasian,9/8/22,Kingston
Prince Edward Island,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,4/3/22,Euthanized,Confirmed,H5N1,Reassortment EU&NA,5/16/22,"East River, Part 1"
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/3/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Sherwood No. 159
Saskatchewan,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,4/3/22,Dead,Confirmed,H5N1,Reassortment EU&NA,2/22/23,Indian Head No. 156
Newfoundland and Labrador,Gull,Larus spp.,Avian,Seabird,4/3/22,Dead,Confirmed,H5N1,Fully Eurasian,8/17/23,"Division No.  1, Subd. A"
Quebec,Common Raven,Corvus corax,Avian,Corvid,4/3/22,Dead,Confirmed,H5N1,Reassortment EU&NA,8/24/22,Saint-Polycarpe
Ontario,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,4/3/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/29/22,Brant
New Brunswick,Great Black-Backed Gull,Larus marinus,Avian,Seabird,4/3/22,Dead,Confirmed,H5N1,Fully Eurasian,5/4/22,Saint Martins
Ontario,Red Fox,Vulpes vulpes,Mammal,,4/3/22,Dead,Confirmed,H5N1,Reassortment EU&NA,8/8/22,Caledon
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/3/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/8/22,Selwyn
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Pense No. 160
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/27/22,Excelsior No. 166
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/27/22,Excelsior No. 166
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/27/22,Excelsior No. 166
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/27/22,Excelsior No. 166
Saskatchewan,Tundra Swan,Cygnus columbianus,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Webb No. 138
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Bratt's Lake No. 129
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Bratt's Lake No. 129
Saskatchewan,Ross's Goose,Anser rossii,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Francis No. 127
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Francis No. 127
Saskatchewan,Ross's Goose,Anser rossii,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Pense No. 160
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Pense No. 160
Saskatchewan,Ross's Goose,Anser rossii,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/27/22,Excelsior No. 166
Ontario,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,4/4/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/24/23,Chatham-Kent
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/4/22,Dead,Confirmed,H5N1,Fully Eurasian,9/8/22,Ottawa
Ontario,Ring-Billed Gull,Larus delawarensis,Avian,Seabird,4/5/22,Dead,Confirmed,H5N1,Reassortment EU&NA,6/9/22,Leamington
Ontario,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/5/22,Dead,Confirmed,H5N1,Reassortment EU&NA,8/16/22,Alfred and Plantagenet
Saskatchewan,Ross's Goose,Anser rossii,Avian,Waterfowl,4/5/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Moose Creek No. 33
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/5/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Moose Creek No. 33
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/5/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Moose Creek No. 33
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/5/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Caledonia No. 99
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/5/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/7/22,Ottawa
Ontario,Ring-Necked Duck,Aythya collaris,Avian,Waterfowl,4/5/22,Live,Confirmed,H5N1,Reassortment EU&NA,9/8/22,Norfolk County
Saskatchewan,Snow Goose,Anser caerulescens,Avian,Waterfowl,4/6/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/22,Kindersley No. 290
Nova Scotia,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,4/6/22,Dead,Confirmed,H5N1,Fully Eurasian,6/15/22,"Pictou, Subd. C"
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/6/22,Dead,Confirmed,H5N1,Fully Eurasian,12/2/22,Leeds and the Thousand Islands
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/6/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/2/22,Clearview
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,4/6/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/2/22,Toronto
