#node	date	numeric date
A/Minnesota/ISC-1107/2023|EPI_ISL_18988579|2023-12-17	2023-12-17	2023.960274
NODE_0000043	2023-12-10	2023.941096
A/Minnesota/ISC-1048/2023|EPI_ISL_18988542|2023-12-10	2023-12-10	2023.941096
A/Minnesota/ISC-1046/2023|EPI_ISL_18934356|2023-12-10	2023-12-10	2023.941096
NODE_0000029	2020-11-17	2020.879085
NODE_0000113	2021-06-18	2021.461917
NODE_0000114	2021-11-05	2021.843908
A/New_Mexico/14115/2022|EPI_ISL_17189231|2022-12-13	2022-12-13	2022.949315
NODE_0000115	2022-01-01	2022.001370
A/South_Dakota/INBRE-02483/2022|EPI_ISL_18042967|2022-01-01	2022-01-01	2022.001370
NODE_0000116	2022-12-14	2022.952055
A/California/112/2023|EPI_ISL_18709323|2023-11-15	2023-11-15	2023.872603
A/Utah/81/2022|EPI_ISL_16764809|2022-12-14	2022-12-14	2022.952055
NODE_0000118	2023-07-05	2023.509463
A/Louisiana/19/2023|EPI_ISL_18742803|2023-11-27	2023-11-27	2023.905479
A/New_Mexico/51/2023|EPI_ISL_18669532|2023-11-19	2023-11-19	2023.883562
A/Florida/83/2023|EPI_ISL_18862725|2023-12-27	2023-12-27	2023.987671
A/Florida/ISC-1067/2024|EPI_ISL_19051773|2024-02-01	2024-02-01	2024.086066
NODE_0000051	2023-12-12	2023.945956
A/Maryland/14346/2023|EPI_ISL_18768266|2023-12-13	2023-12-13	2023.949315
NODE_0000053	2023-12-13	2023.949315
A/Maryland/USAFSAM-14346/2023|EPI_ISL_18870470|2023-12-13	2023-12-13	2023.949315
NODE_0000055	2024-01-09	2024.023224
A/New_York/34/2024|EPI_ISL_19014631|2024-02-05	2024-02-05	2024.096995
A/Iowa/07/2024|EPI_ISL_18886072|2024-01-09	2024-01-09	2024.023224
NODE_0000125	2021-12-28	2021.991359
A/Colorado/41/2022|EPI_ISL_16200838|2022-11-01	2022-11-01	2022.834247
NODE_0000057	2022-11-11	2022.861644
A/Michigan/UM-10054955425/2023|EPI_ISL_18851741|2023-12-14	2023-12-14	2023.952055
A/Michigan/UOM10048362068/2022|EPI_ISL_16641703|2022-11-11	2022-11-11	2022.861644
NODE_0000128	2022-07-18	2022.544117
NODE_0000129	2023-09-30	2023.745253
A/South_Dakota/25/2024|EPI_ISL_18934473|2024-02-04	2024-02-04	2024.094262
